row ID,row m/z,row retention time,PUCE m1.mzML Peak area,PUCE m9.mzML Peak area,PUCE m12.mzML Peak area,PUCE m10.mzML Peak area,PUCE m11.mzML Peak area,PUCE m13.mzML Peak area,PUCE m14.mzML Peak area,PUCE m15.mzML Peak area,PUCE m16.mzML Peak area,PUCE m17.mzML Peak area,PUCE m18.mzML Peak area,PUCE m19.mzML Peak area,PUCE m2.mzML Peak area,PUCE m20.mzML Peak area,PUCE m21.mzML Peak area,PUCE m22.mzML Peak area,PUCE m23.mzML Peak area,PUCE m3.mzML Peak area,PUCE m4.mzML Peak area,PUCE m5.mzML Peak area,PUCE m6.mzML Peak area,PUCE m7.mzML Peak area,PUCE m8.mzML Peak area
1,0,8.92,130630973.40236336,91931449.37414443,12292632.256384145,78800216.22865564,5994681.802345042,10492707.96870168,6712825.635182752,11074897.713330446,8696105.401836313,2606749.9336076463,7780409.1819149,7057453.690057226,61143092.97948289,34513352.01465704,5163375.37177792,6036368.834251765,4578442.647516828,115644459.0713846,99082219.74421649,138120800.85134852,193572722.99738565,101901267.5784034,79997970.40458056
2,0,9.10,30493234.27054341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36782536.833666,0.0,175291148.23599812,28323722.22236241,0.0,0.0,0.0,0.0,79505116.60036285,0.0,0.0,0.0,0.0,0.0
3,0,9.10,40245.337624957414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961295.1734698354,0.0,22933770.872663103,0.0,53873808.68601138,0.0,0.0,0.0,1300345.1190678529,0.0,0.0,19513994.46183625,0.0,0.0
4,0,9.53,0.0,157412460.34486845,76529862.02031621,0.0,3855715.2330973744,197629015.17116943,127682219.2597182,3327254.9711375167,93887250.08541192,144577823.68561053,129990074.75440718,184492488.0605992,111480260.06815895,0.0,139228279.9868166,0.0,117922956.54581878,183547184.9877236,116651768.69945522,111712528.6371336,141270800.0210495,115225686.21860059,148654645.53734913
5,0,9.53,40051975.84878648,6299700.596516723,0.0,55772125.36463958,43575886.68876504,10391409.19719362,2852452.486484426,36847584.42024275,327519.47871565394,21948448.89454693,15557173.389140977,35859891.166977026,0.0,94586788.34638828,28144658.30053747,63731508.99849161,17833029.187788673,21264094.718496416,12792298.329141578,15219930.542902393,27426567.23272899,13653255.729769852,13660168.182101876
6,0,9.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270103843.2796664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,9.71,0.0,0.0,0.0,0.0,838253.2215338871,1268913.7624387057,751451.3928474856,928925.812436866,972693.2138328,0.0,1140648.2240402466,0.0,0.0,0.0,0.0,1135896.832221598,718726.2053934518,0.0,1163066.4294905134,1527343.3986539044,0.0,1029149.6643688584,0.0
8,0,9.93,1417849.526974751,1227053.8040861287,1322968.5282095738,1390907.6866066724,1149004.6337605545,1205247.7033042915,1075604.8275334702,1149418.5006910658,1089450.1564285785,427499.0004246636,569205.3430212975,775996.1525022893,1052413.4562786296,734326.4029423271,797917.7402057343,1032140.7207455672,880640.1302801203,886852.1754955606,1193066.2415806234,1157669.0841440072,973136.9158473586,1156371.0570255404,1036564.4383032002
9,0,10.20,3450627.3150350316,11476.576358154698,4606082.056950491,4531827.4891941,5941413.383159945,8036114.536133811,6449037.430756029,4099809.662884507,4215142.971344681,6146218.299984196,4518805.635305423,9898958.539274834,6410822.044554353,4455829.707367376,4525728.094776314,4194453.421686874,3887738.50789936,15026992.509176942,7563300.268138102,7590904.286818791,11043578.569305947,6821033.102226341,3243502.0480322214
10,0,10.31,874642.1000841863,744892.7440073673,800648.8743528527,740643.8228474217,694111.0267486618,601593.901006566,678120.6228407604,662153.674431336,627905.9340608681,298828.0119390267,610672.3849204908,265669.02262755943,882393.6192559691,673002.1120184433,554899.9379959722,597368.2041802624,615468.9609625661,758734.7728222916,781487.1541911893,802516.7067669224,508349.7344098892,728129.8931417579,778105.1630743777
11,0,10.67,123324.21863346394,0.0,112057.5785755295,298.92182150733163,109527.83089911363,0.0,154158.61235606408,54050.76991664117,0.0,114253.75969368774,79556.63623108956,0.0,146087.72715055686,1232.633928397356,0.0,0.0,0.0,655.2872198407724,97504.45917920273,91565.20510134641,463520.1117343632,164040.55394502825,156251.14421019258
12,0,10.67,54958.519306355345,0.0,41792.1584336729,40478.970528557315,0.0,0.0,89816.29657096323,0.0,0.0,60752.92949196982,0.0,0.0,41077.0232447039,66281.50664748969,0.0,0.0,0.0,88736.75373018645,0.0,37244.368021479895,715933.0147385164,23652.55495237397,175477.15796707704
13,0,10.67,0.0,0.0,4174.575109947029,5922.801101032172,0.0,163599.202277758,67800.87334187546,51716.90106975162,50618.0909967117,6913.174304099442,0.0,47661.71755348034,77507.20374887841,142300.59554420412,0.0,62656.78230791242,80749.58998833201,12983.782340126147,0.0,3864.3907277805592,0.0,127751.89681254358,0.0
14,0,11.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.20462855453749,0.0,0.0,57.67362370449093,16313004.82311071,0.0,0.0,0.0,8674484.020295413,0.0,0.0,2706.8122809209813,0.0,0.0
15,0,11.12,6712740.9721656535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7232922.87792255,0.0,18210142.572324075,3580075.1019091494,0.0,0.0,0.0,0.0,0.0,252.82482479137454,0.0,4074235.3277694364,0.0,0.0
16,0,11.21,35480.18611787644,34975.53591339681,177.61947183885766,0.0,6410188.607244081,18136224.03013705,4344652.983317231,793664.7301403013,10938856.533841703,0.0,9945695.047181152,0.0,0.0,0.0,8220601.704821311,8045659.65635335,8876001.68893814,33265.838070178084,8833311.697410213,4623239.4426876735,349052.6949844689,3865239.475486665,6962969.007260502
17,0,11.34,1702039.5612199937,2201405.50718288,1732988.87831575,1844848.6832949047,1739666.524446849,4402540.658352928,5730090.616075193,2302838.3595470185,3932414.408839066,2631373.2712183823,1934581.958530532,4794780.624330026,2507846.1451924117,14878662.940521987,12226708.911125336,7874771.835791153,9208623.38197468,5110173.173087979,4882845.275515961,3741619.646512092,979019.4557666772,1644629.081151797,2246887.3490161705
18,0,11.34,262.2785749323923,5744726.123509328,5276137.988613511,3387570.265800805,19847.773542837487,0.0,0.0,8338678.493296575,0.0,0.0,0.0,0.0,0.0,102375.04032400646,0.0,9057.010500244616,0.0,0.0,0.0,0.0,1012.736299617383,0.0,0.0
19,0,11.53,1898752.135805032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294075.442474983,0.0,1138958.1519879429,1487694.2082139463,0.0,2883.4756048746813,7069.582841754651,4660.433493013309,3039477.4686314007,0.0,4499.423615480034,10493.046543122038,0.0,3662.976610955125
20,0,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2854063.5651850095,0.0,0.0,0.0,0.0,48669.3429569169,0.0,0.0,491.0745881447817,15188.397777683474,793.7020359349016,0.0,0.0,18.293906677090487,13227.387029197087,0.0,14.893052534692053
21,0,11.68,36418.2247606217,18277.95475031534,1193245.123386207,1596.499524703001,1803304.8084325881,1771944.4567769675,2270736.3627674337,2993899.990513485,2056608.9594190472,0.0,2897928.719747546,0.0,0.0,0.0,2187234.891255457,3437024.156616632,2061056.075323696,0.0,3600062.0297960117,3717872.964952042,0.0,1976802.9802228769,2099831.0316498536
